categoria,subyacente,instrumento,bbg_ticker,valor_costo_usdm,valor_mercado_usdm,pl_no_realizado_usdm,exposicion_pct,limite_maximo
ETF,Fixed Income - US Treasuries,ISHARES INTERNATIONAL TREASU,BBG000H03774,4872.8,4847.4,-25.4,9.89,5MM USD por ETF
ETF,Equity,ISHARES IBOXX INVESTMENT GRA,BBG000BBV9N3,4730.3,4646.5,-83.7,9.48,5MM USD por ETF
ETF,Fixed Income,ISHARES US&INTL HIGH YIELD C,BBG002VL4J62,4059.1,4051.8,-7.3,8.27,5MM USD por ETF
ETF,Fixed Income - MM,INVESCO BULLETSHARES 2026 HY,BBG000LNJYD19,3270.6,3264.6,-6.1,6.66,5MM USD por ETF
ETF,Equity,ISHARES JP MORGAN USD EMERGI,BBG000NXKWH0,2088.2,2096.2,8.0,4.28,5MM USD por ETF
ETF,Fixed Income - MM,INVESCO BULLETSHARES 2027 HY,BBG000Q5LFGF2,1794.4,1787.6,-6.8,3.65,5MM USD por ETF
ETF,Equity,VANGUARD S&P 500 ETF,BBG0015VYNT4,1139.3,1288.0,148.7,2.63,5MM USD por ETF
ETF,Fixed Income - IG,INVESCO INTERNATIONAL CORPOR,BBG000ZCCCC0,1301.3,1276.6,-24.7,2.61,5MM USD por ETF
ETF,Fixed Income - High Yield,SPDR BLOOMBERG SHORT TERM HI,BBG002QLYC88,1003.7,996.0,-7.7,2.03,5MM USD por ETF
ETF,Bond - Tips,ISHARES TIPS BOND ETF,BBG000TH6VB3,993.7,982.2,-11.5,2.00,5MM USD por ETF
ETF,Bonds - US Treasury,ISHARES MSCI ACWI ETF,BBG000BHR296,944.0,980.6,36.7,2.00,5MM USD por ETF
ETF,Equity,ISHARES 7-10 YEAR TREASURY B,BBG000BHR296,802.8,794.9,-7.9,1.62,5MM USD por ETF
ETF,Equity,VANGUARD FTSE DEVELOPED ETF,BBG000QVFB47,478.8,485.5,6.7,0.99,5MM USD por ETF
ETF,Equity,ISHARES S&P GLBL FINL SECTOR,BBG000L77B26,409.5,407.8,-1.7,0.83,5MM USD por ETF
ETF,Equity,ISHARES GLOBAL TECH ETF,BBG000BBTL04,324.0,378.4,54.4,0.77,5MM USD por ETF
ETF,Equity,ISHARES GLOBAL CONSUMER DISC,BBG000G7MYR8,262.8,253.5,-9.4,0.52,5MM USD por ETF
ETF,Equity,SPDR PORTFOLIO EMERGING MARK,BBG000Q8RM32,232.2,234.0,1.8,0.48,5MM USD por ETF
ETF,Equity,ISHARES GLOBAL INDUSTRIALS,BBG000G7XHL9,211.4,217.8,6.4,0.44,5MM USD por ETF
ETF,Equity,ISHARES GLOBAL HEALTHCARE ET,BBG000L77VV0,189.9,182.6,-7.3,0.37,5MM USD por ETF
ETF,Equity,ISHARES GLOBAL COMM SERVICES,BBG000L7MB74,165.6,160.3,-5.3,0.33,5MM USD por ETF
ETF,Equity,ISHARES EXPANDED TECH-SOFTWA,BBG000BGQ921,135.8,124.3,-11.5,0.25,5MM USD por ETF
ETF,Equity,ISHARES GLOBAL MATERIALS ETF,BBG000G81ZY8,118.5,118.5,0.0,0.24,5MM USD por ETF
ETF,Equity,ISHARES GLOBAL CONSUMER STAP,BBG000G7QYC0,78.4,74.0,-4.4,0.15,5MM USD por ETF
ETF,Equity,ISHARES GLOBAL ENERGY ETF,BBG000L74NQ7,70.0,69.6,-0.4,0.14,5MM USD por ETF
ETF,Equity,ISHARES GLOBAL UTILITIES ETF,BBG000S09C1,60.7,60.3,-0.4,0.12,5MM USD por ETF
ETF,Equity,SPDR DJ GLOBAL REAL ESTATE E,BBG000FS2Q74,9.8,9.7,-0.1,0.02,5MM USD por ETF
BOND,Fixed Income - US Treasuries,US TREASURY N/B Nov 35 4%,BBG01Y9RFK31,5065.0,4885.2,-179.7,9.97,5MM USD por emisor
BOND,Fixed Income - US Treasuries,US TREASURY N/B Feb 36 4.125%,BBG01ZZ4GDR9,4419.1,4269.8,-149.3,8.72,5MM USD por emisor
BOND,Fixed Income - US Treasuries,US TREASURY N/B Nov 31 1.375%,BBG013BNT3Y4,3568.3,3465.9,-102.4,7.07,5MM USD por emisor
BOND,Fixed Income - Corp,HF SINCLAIR CORP Feb 28 5%,BBG01K7FNPT1,485.8,499.1,13.4,1.02,5MM USD por emisor
TBILL,Fixed Income - US Treasuries,TREASURY BILL Nov 26 0%,BBG01YKHNFB3,2887.9,2898.5,10.3,5.92,70MM USD
EQUITY,Fixed Income - US Treasuries,ISHARES -3 YEAR INTERNATIONA,BBG000H0YZK3,2914.4,2876.9,-37.5,5.87,2.7MM USD US Listing
FUND,Bond - Money Market,GS USD LIQ RSRV-INST DIS,BBG000GJTTD1,100.0,100.0,0.0,0.20,Close end 2.5MM / Mutual 5.0MM
FUND,Bond - Money Market,BNYM-USD LIQ-INST,BBG000BNGFM1,0.0,3.5,0.0,0.00,Close end 2.5MM / Mutual 5.0MM
CASH,Cash,BONY Custodian,,154.1,154.1,0.0,0.31,100%
CASH,Cash,Interactive Brokers LLC,,53.7,53.7,0.0,0.11,100%
CASH,Cash,Mercantil Bank (Schweiz) AG,,0.4,0.4,0.0,0.00,100%
CASH,Cash,Bloomberg Finance LP,,0.0,0.0,0.0,0.00,100%
CASH,Cash,BONY Custodian - AFS,,0.0,0.0,0.0,0.00,100%
