rating_tier,bucket_plazo,n,yld,spread,n_emisores,percentil,p50,n_hist
T3,0-1y,200,0.058416382409632206,127.49019078910351,15,0.5164340916549922,119.8181533254683,496.0
T1,10y+,16,0.056889125364250503,,1,,,
T3,3-5y,38,0.1023331283358857,498.1726553523913,4,0.95,198.50397075060755,304.0
T5,3-5y,44,0.08435278129763901,315.97780325682834,1,0.44226789808887806,335.49499057698995,151.0
T3,1-3y,142,0.06975116021931171,237.64818906784058,22,0.5,237.64818906784058,627.0
T3,5-7y,14,0.09963864157907665,447.4463341466617,7,0.6434305478964694,331.1705921078101,156.0
T5,1-3y,58,0.07797600631602108,315.3207479044795,1,0.7062556820990695,301.62392649799585,113.0
T4,1-3y,643,0.07960382546298206,315.0244359858334,5,0.722610807311543,272.44638185948133,2649.0
T4,3-5y,141,0.07068121968768537,174.57987123634666,3,0.6171895863964203,139.97497444506735,1105.0
T3,10y+,28,0.07252451224485412,,6,,,
T2,1-3y,17,0.06386648211628199,172.28287179023027,3,0.765031879792623,146.547332406044,94.0
T4,5-7y,26,0.07241139496909454,175.21634872537106,3,0.25,196.52552145998925,200.0
T2,5-7y,3,0.06516769924201071,111.45054741064087,1,0.95,5.065725417807698,22.0
T4,0-1y,294,0.05974094197154045,133.8300877250731,4,0.4497913354487083,144.40956292673945,1107.0
T2,0-1y,19,0.059622044675052166,123.41749388724566,1,0.75,57.34980804845691,98.0
