bucket_plazo,rating_tier,spread_now,p10,p25,p50,p75,p90,n_hist,percentil,label
5-7y,T4,175.21634872537106,136.82544231414795,175.21634872537106,196.52552145998925,328.5360391600989,426.15751444827765,200,0.25,T4 · 5-7y
3-5y,T5,315.97780325682834,231.4171812031418,250.97880861721933,335.49499057698995,366.3477429654449,374.1747117601335,151,0.44226789808887806,T5 · 3-5y
0-1y,T4,133.8300877250731,72.72253511473536,91.73202561214566,144.40956292673945,182.39981727674603,298.6883744597435,1107,0.4497913354487083,T4 · 0-1y
1-3y,T3,237.64818906784058,83.02461123093963,186.47011602297425,237.64818906784058,337.2063918504864,428.6868544295429,627,0.5,T3 · 1-3y
0-1y,T3,127.49019078910351,44.01643527671695,72.82159058377147,119.8181533254683,236.5273336181417,280.0397633109242,496,0.5164340916549922,T3 · 0-1y
3-5y,T4,174.57987123634666,51.85586225707084,85.81434958614409,139.97497444506735,213.7974399374798,302.6934713125229,1105,0.6171895863964203,T4 · 3-5y
5-7y,T3,447.4463341466617,5.755518213845789,179.37995799002238,331.1705921078101,533.8396604201989,618.7991428305395,156,0.6434305478964694,T3 · 5-7y
1-3y,T5,315.3207479044795,203.35367880761623,226.94612853229046,301.62392649799585,318.2256768923253,340.19579412415624,113,0.7062556820990695,T5 · 1-3y
1-3y,T4,315.0244359858334,185.31588139012456,224.68874230980873,272.44638185948133,320.26307890191674,348.1336054392159,2649,0.722610807311543,T4 · 1-3y
0-1y,T2,123.41749388724566,19.020002800971273,33.26907753944397,57.34980804845691,123.41749388724566,188.58502618968478,98,0.75,T2 · 0-1y
1-3y,T2,172.28287179023027,98.13826880417764,127.28727888315916,146.547332406044,168.6406321823597,204.98578320257369,94,0.765031879792623,T2 · 1-3y
3-5y,T2,175.02825357951224,7.320035365410149,30.855968361720443,46.67973262257874,67.4274007906206,184.93145063985142,140,0.8873580565013981,T2 · 3-5y
3-5y,T3,498.1726553523913,59.85185562167317,112.73576528765261,198.50397075060755,338.9880293980241,496.9187287497334,304,0.95,T3 · 3-5y
5-7y,T2,111.45054741064087,-2.576184342615306,4.05003665946424,5.065725417807698,52.06193309277296,109.34871315839705,22,0.95,T2 · 5-7y
