instr_group,bucket_plazo,yld,n,x_years,yld_pct
Bonos Corp.,0-1y,0.08505263878032565,127,0.5,8.505263878032565
Bonos Hipotecarios,0-1y,0.08544634841382504,35,0.5,8.544634841382504
Tesoro Panamá,0-1y,0.046797445276752114,16,0.5,4.679744527675211
Notas Corp.,0-1y,0.08911032043397427,5,0.5,8.911032043397427
VCN,0-1y,0.0536799447145313,458,0.5,5.36799447145313
Tesoro Panamá,1-3y,0.04717757418984547,19,2.0,4.717757418984547
Bonos Hipotecarios,1-3y,0.08108095196075737,378,2.0,8.108095196075737
Notas Corp.,1-3y,0.06405358016490936,7,2.0,6.405358016490936
VCN,1-3y,0.06572779547423124,11,2.0,6.572779547423124
Bonos Corp.,1-3y,0.07898665399989113,597,2.0,7.898665399989113
Notas Corp.,3-5y,0.07177079754183069,2,4.0,7.177079754183069
Tesoro Panamá,3-5y,0.0525204207515344,25,4.0,5.25204207515344
Bonos Corp.,3-5y,0.07166347978636622,281,4.0,7.166347978636622
Bonos Corp.,5-7y,0.07320616120705381,53,6.0,7.320616120705381
Tesoro Panamá,5-7y,0.055970792047446594,76,6.0,5.597079204744659
Bonos Corp.,7-10y,0.08249811329005752,7,8.5,8.249811329005752
Tesoro Panamá,7-10y,0.05746664133039303,56,8.5,5.746664133039303
Bonos Corp.,10y+,0.06998438405571505,84,12.0,6.998438405571505
