emisor,nemotecnico,isin,instrumento,fecha_emision,fecha_vencimiento,cupon_pct,plazo,serie_mm,coloc_mm,pct_coloc,frecuencia,tipoTasa,is_mercantil
"BANISTMO, S.A.",BIST0505000527X,PAL750231JX6,BONOS,2026-05-22,2027-05-22,5.05,0.999315537303217,5.1,5.1,100.0,TRIMESTRAL,FIJA,False
"BANCO LA HIPOTECARIA, S.A.",HIPO0525001027R,PAL750081YR6,NOTAS CORPORATIVAS,2026-05-07,2027-10-29,5.25,1.4784394250513346,1.6,1.6,100.0,MENSUAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0437500427P,PAL750121NP7,BONOS,2026-04-28,2027-04-28,4.375,0.999315537303217,1.0,1.0,100.0,TRIMESTRAL,FIJA,False
"BANCO LA HIPOTECARIA, S.A.",HIPO0525000428Q,PAL750081YQ8,NOTAS CORPORATIVAS,2026-04-27,2028-04-27,5.25,2.001368925393566,1.0,1.0,100.0,MENSUAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0437500427O,PAL750121NO0,BONOS,2026-04-23,2027-04-23,4.375,0.999315537303217,10.125,10.125,100.0,TRIMESTRAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0500000327O,PAL750121IO0,BONOS,2026-03-12,2027-03-12,5.0,0.999315537303217,10.0,10.0,100.0,TRIMESTRAL,FIJA,False
"BANCO LA HIPOTECARIA, S.A.",HIPO0550000927P,PAL750081YP0,NOTAS CORPORATIVAS,2026-03-12,2027-09-03,5.5,1.4784394250513346,10.0,,,MENSUAL,FIJA,False
"CREDICORP BANK, S.A.",CRED0450000327Y,PAL7503815Y1,BONOS,2026-03-11,2027-03-11,4.5,0.999315537303217,3.5,3.5,100.0,TRIMESTRAL,FIJA,False
"BANISTMO, S.A.",BIST0515000327W,PAL750231JW8,BONOS,2026-03-10,2027-03-10,5.15,0.999315537303217,30.0,30.0,100.0,SEMESTRAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0500000227N,PAL750121NN2,BONOS,2026-02-23,2027-02-23,5.0,0.999315537303217,2.0,2.0,100.0,TRIMESTRAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0500000227M,PAL750121NM4,BONOS,2026-02-13,2027-02-15,5.0,1.0047912388774811,0.9,0.9,100.0,TRIMESTRAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0500000227L,PAL750121NL6,BONOS,2026-02-09,2027-02-11,5.0,1.0047912388774811,2.5,2.5,100.0,TRIMESTRAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0500000227K,PAL750121NK8,BONOS,2026-02-02,2027-02-02,5.0,0.999315537303217,2.434,2.434,100.0,TRIMESTRAL,FIJA,False
"BANCO LA HIPOTECARIA, S.A.",HIPO0550000129O,PAL750081YO3,NOTAS CORPORATIVAS,2026-01-27,2029-01-27,5.5,3.0006844626967832,1.0,1.0,100.0,MENSUAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0500000127J,PAL750121NJ0,BONOS,2026-01-26,2027-01-26,5.0,0.999315537303217,3.15,3.15,100.0,TRIMESTRAL,FIJA,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0525000128Z,PAL750251PZ6,BONOS,2026-01-26,2028-01-26,5.25,1.998631074606434,1.5,1.5,100.0,TRIMESTRAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0500000127I,PAL750121NI2,BONOS,2026-01-23,2027-01-25,5.0,1.0047912388774811,2.011,2.011,100.0,TRIMESTRAL,FIJA,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0525000128Y,PAL750251PY9,BONOS,2026-01-21,2028-01-21,5.25,1.998631074606434,4.0,4.0,100.0,TRIMESTRAL,FIJA,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0525001226X,PAL750251PX1,BONOS,2025-12-30,2026-12-30,5.25,0.999315537303217,15.0,15.0,100.0,TRIMESTRAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0500001226H,PAL750121NH4,BONOS,2025-12-24,2026-12-24,5.0,0.999315537303217,0.7,0.7,100.0,TRIMESTRAL,FIJA,False
"BANCO LA HIPOTECARIA, S.A.",HIPO0540000627N,PAL750081YN5,NOTAS CORPORATIVAS,2025-12-24,2027-06-17,5.4,1.4784394250513346,3.0,0.576,19.2,MENSUAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0500001226G,PAL750121NG6,BONOS,2025-12-15,2026-12-15,5.0,0.999315537303217,1.925,1.925,100.0,TRIMESTRAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0500001226F,PAL750121NF8,BONOS,2025-12-11,2026-12-11,5.0,0.999315537303217,4.0,4.0,100.0,TRIMESTRAL,FIJA,False
"CREDICORP BANK, S.A.",CRED0475001226X,PAL7503815X3,BONOS,2025-12-11,2026-12-11,4.75,0.999315537303217,5.0,5.0,100.0,TRIMESTRAL,FIJA,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0530001228R,PAL750251HR0,BONOS,2025-12-10,2028-12-10,5.3,3.0006844626967832,10.0,10.0,100.0,TRIMESTRAL,FIJA,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0540001226W,PAL750251PW3,BONOS,2025-12-01,2026-12-01,5.4,0.999315537303217,2.0,2.0,100.0,TRIMESTRAL,FIJA,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0540001126V,PAL750251PV5,BONOS,2025-11-19,2026-11-19,5.4,0.999315537303217,3.01,3.01,100.0,TRIMESTRAL,FIJA,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0540001026U,PAL750251PU7,BONOS,2025-10-28,2026-10-28,5.4,0.999315537303217,1.05,1.05,100.0,TRIMESTRAL,FIJA,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0540001026T,PAL750251PT9,BONOS,2025-10-24,2026-10-24,5.4,0.999315537303217,4.95,4.95,100.0,TRIMESTRAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0537501026C,PAL750121NC5,BONOS,2025-10-15,2026-10-15,5.375,0.999315537303217,3.153,3.153,100.0,TRIMESTRAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0537500427B,PAL750121NB7,BONOS,2025-10-08,2027-04-08,5.375,1.4976043805612593,0.5,0.5,100.0,TRIMESTRAL,FIJA,False
"MERCANTIL HOLDING FINANCIERO INTERNACIONAL, S.A.",MHFI0700000930K,PAL7511111K4,BONOS,2025-09-24,2030-09-24,7.000000000000001,4.999315537303217,1.0,1.0,100.0,TRIMESTRAL,FIJA,True
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0575000926S,PAL750251PS1,BONOS,2025-09-23,2026-09-23,5.75,0.999315537303217,2.678,2.678,100.0,TRIMESTRAL,FIJA,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0575000926R,PAL750251PR3,BONOS,2025-09-15,2026-09-15,5.75,0.999315537303217,5.0,5.0,100.0,TRIMESTRAL,FIJA,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0575000926Q,PAL750251PQ5,BONOS,2025-09-12,2026-09-12,5.75,0.999315537303217,3.607,3.607,100.0,TRIMESTRAL,FIJA,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0575000826P,PAL750251PP7,BONOS,2025-08-29,2026-08-29,5.75,0.999315537303217,2.0,2.0,100.0,TRIMESTRAL,FIJA,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0585000828Q,PAL750251HQ2,BONOS,2025-08-26,2028-08-26,5.85,3.0006844626967832,10.0,10.0,100.0,TRIMESTRAL,FIJA,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0575000826O,PAL750251PO0,BONOS,2025-08-25,2026-08-25,5.75,0.999315537303217,1.05,1.05,100.0,TRIMESTRAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0537500826A,PAL750121NA9,BONOS,2025-08-21,2026-08-21,5.375,0.999315537303217,2.069,2.069,100.0,TRIMESTRAL,FIJA,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0575000826N,PAL750251PN2,BONOS,2025-08-20,2026-08-20,5.75,0.999315537303217,3.64,3.64,100.0,TRIMESTRAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0537500826Z,PAL750121MZ8,BONOS,2025-08-19,2026-08-19,5.375,0.999315537303217,1.0,1.0,100.0,TRIMESTRAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0537500826Y,PAL750121MY1,BONOS,2025-08-11,2026-08-11,5.375,0.999315537303217,4.5,4.5,100.0,TRIMESTRAL,FIJA,False
