bucket_plazo,instrumento_clase,yld_now,p10,p25,p50,p75,p90,n_hist,percentil,yld_now_pct,p50_pct,label
3-5y,NOTAS DEL TESORO,0.0525204207515344,0.05727669992484152,0.0657652501395205,0.06899637856986374,0.07080894912360236,0.0728950608172454,488,0.05,5.25204207515344,6.899637856986374,NOTAS DEL TESORO 3-5y
1-3y,LETRAS DEL TESORO,0.045209734700620174,0.04552037734538317,0.046740374993532896,0.05116967763751745,0.05596537655219436,0.056622762233018875,35,0.05,4.520973470062017,5.116967763751745,LETRAS DEL TESORO 1-3y
1-3y,NOTAS CORPORATIVAS,0.06405358016490936,0.0575215183198452,0.06878981878980994,0.07303447742015123,0.07621658372227103,0.0984221154358238,82,0.18695271122484458,6.405358016490936,7.303447742015123,NOTAS CORPORATIVAS 1-3y
7-10y,BONOS DEL TESORO,0.05746664133039303,0.045467818505130715,0.0604534107260406,0.06844221311621368,0.07489061437081546,0.0772806239547208,1333,0.22010358998545249,5.746664133039303,6.844221311621368,BONOS DEL TESORO 7-10y
3-5y,SVS - BONOS,0.07039653765968978,0.06997852100175805,0.07049126960919239,0.07447529747150838,0.0802925123134628,0.0833286838606,62,0.22228701898091419,7.039653765968978,7.447529747150838,SVS - BONOS 3-5y
1-3y,BONOS,0.06980360590387136,0.0662603978998959,0.07058825565036386,0.07462382945232093,0.0835833259334322,0.09695381263736635,3090,0.2228046833422033,6.980360590387136,7.462382945232093,BONOS 1-3y
5-7y,BONOS DEL TESORO,0.055970792047446594,0.05405652814079076,0.05608729846426286,0.06023487792117521,0.07019746040168684,0.0733932509610895,248,0.24139441702468833,5.597079204744659,6.023487792117521,BONOS DEL TESORO 5-7y
0-1y,VALORES COMERCIALES NEGOCIABLES,0.05784343741834164,0.05372700421139598,0.05757209658622742,0.06317944545298815,0.06923259515315294,0.07375104166567326,1654,0.26209755441304333,5.784343741834164,6.317944545298815,VCN 0-1y
3-5y,BONOS,0.07304516434669495,0.06612495973240584,0.07271359546575695,0.07725591643247753,0.0846998980268836,0.0997543298872188,2369,0.26824886899050293,7.304516434669495,7.725591643247753,BONOS 3-5y
0-1y,LETRAS DEL TESORO,0.046797445276752114,0.04463984677568078,0.046223188284784555,0.04997880011796951,0.05431966204196215,0.0548196448944509,41,0.2882265937931449,4.679744527675211,4.997880011796951,LETRAS DEL TESORO 0-1y
1-3y,VALORES COMERCIALES NEGOCIABLES,0.06210877373814583,0.057510467479005456,0.059809140395373106,0.06934681721031666,0.07632787618786097,0.07697620010003448,104,0.31027760709950025,6.210877373814583,6.934681721031666,VCN 1-3y
3-5y,NOTAS CORPORATIVAS,0.07177079754183069,0.04655451967846602,0.0469532981805969,0.09428343636682257,0.09968977817334235,0.10397781984647736,56,0.3810871904894223,7.177079754183069,9.428343636682257,NOTAS CORPORATIVAS 3-5y
1-3y,BONOS HIPOTECARIOS,0.08108095196075737,0.07939237216487527,0.08036987436935306,0.08131820405833423,0.08219268918037415,0.08307173429057002,2282,0.43745526995159645,8.108095196075737,8.131820405833423,BONOS HIPOTECARIOS 1-3y
5-7y,BONOS,0.07476453192066401,0.06256070558447391,0.068566659494536,0.0762642169429455,0.08142273497651331,0.09183829987887293,1046,0.4512934774331774,7.476453192066401,7.6264216942945495,BONOS 5-7y
10y+,BONOS,0.06974805884237867,0.05473710221122019,0.05945544274436543,0.06992136589542497,0.07399084824282909,0.08340038209280465,1276,0.49586020624877325,6.974805884237867,6.992136589542497,BONOS 10y+
7-10y,BONOS,0.06581148412078619,0.047712685278384015,0.05767291079973802,0.062166029412765056,0.0743155867094174,0.08950075539178215,624,0.575012089309328,6.581148412078619,6.216602941276506,BONOS 7-10y
0-1y,BONOS,0.08983483351767063,0.058754869271069765,0.06967974116560072,0.08778026606887579,0.09373491676524282,0.11049238545820117,372,0.5862589408497273,8.983483351767063,8.778026606887579,BONOS 0-1y
0-1y,BONOS HIPOTECARIOS,0.08544634841382504,0.0772875442635268,0.07959249475970864,0.08257265016436577,0.08621366042643785,0.09203051496297121,130,0.6973146216720532,8.544634841382504,8.257265016436577,BONOS HIPOTECARIOS 0-1y
10y+,ACCIONES PREFERIDAS,0.07938047699281015,0.06954129894438665,0.07037032496737083,0.07242489405325614,0.07856596635247115,0.08657801018853206,174,0.7652491172727928,7.9380476992810145,7.242489405325614,ACCIONES PREFERIDAS 10y+
1-3y,SVS - BONOS,0.08592190383933485,0.0734077428933233,0.07747779821511358,0.08093540952540934,0.08560880002914928,0.08807237423025072,40,0.7690639971415666,8.592190383933485,8.093540952540934,SVS - BONOS 1-3y
0-1y,SVS - VCN,0.11338579282164574,0.07851467747241259,0.09628759161569178,0.1068566208705306,0.11060343869030476,0.12065493315458298,23,0.7915214992342053,11.338579282164574,10.68566208705306,SVS - VCN 0-1y
10y+,ACCIONES DE FONDOS,0.06701089546550065,0.05028154514729977,0.0509969282138627,0.05211706203408539,0.0645704509515781,0.06704336131224409,175,0.8980307102558285,6.701089546550065,5.211706203408539,ACCIONES DE FONDOS 10y+
0-1y,NOTAS CORPORATIVAS,0.08911032043397427,0.05808774894103408,0.059549874160438776,0.06260524317622185,0.07287835166789591,0.08764348458498716,27,0.95,8.911032043397427,6.260524317622185,NOTAS CORPORATIVAS 0-1y
